,Unnamed: 0,PriorityID,label,text,label_pr_low,label_pr_norm,label_pr_high,label_pr_crit
0,0,Normal,1,created,0,1,0,0
1,1,Normal,1,client emailed that he is getting an  invalid column for  suta error  when he ran updates. i asked for a screenshot and logs...waiting   good morning matt   could you take a screenshot of the error and email it to us  also  follow the steps below to upload logs data to us to start troubleshooting this issue.        open        click on settings       select the upload data tab       select year        select upload after you have uploaded your data files  please email support.  thanks                                                                                                                             kwame numapau      support    software inc.   let us handle that   southpoint pkwy    suite    jacksonville  fl    fax  ..   tell  .. ext    think green. please don   t print this message unless it   s really necessary. thank you.       original message      from  matt kandik  mailto cfcit  sent  friday  january      am to  clientswsupport subject  suta error on updates  hello when i try to update  it tells me that there is a invalid column for  suta error,0,1,0,0
2,2,Normal,1,client called back and i assisted him with this issue. not sure why it is still open. closing.....,0,1,0,0
3,3,Normal,1,auto confirmed fix.  survey sent to,0,1,0,0
4,4,Normal,1,created,0,1,0,0
5,5,Normal,1,client lvm in spport  that she s getting a critical error message. i called and lvm for her to call us back so that we can get the details of this issue and assist her. her vm is in my inbox.,0,1,0,0
6,6,Normal,1,this is resolved for client per her email    good morning   we rebooted both workstations and the problem seemed to correct itself.  i did receive the error again when i checked the box to edit the file before submission   however   we were able to create the diskette.  i apologize for not notifying you all that the problem was resolved.  thank you.  michelle johnston chief financial officer      telephone       fax michellejohnston,0,1,0,0
7,7,Normal,1,created,0,1,0,0
8,8,Normal,1,good morning michelle   i called sonia and left her a voice message. could you let her follow the steps below to upload data logs to us to troubleshoot this issue         open        click on settings       select the upload data tab       select year        select upload  after you have uploaded your data files  please email support.  thanks                                                                                                                            kwame numapau      support     software inc.   let us handle that   southpoint pkwy    suite    jacksonville  fl    fax  ..   tell  .. ext  p think green. please don   t print this message unless it   s really necessary. thank you.  from  michelle johnston  mailto michellejohnston  sent  friday  january      pm to  clientswsupport cc   sonia howard  subject  critical error message  please contact sonia howard at    or    ext  regarding the error message below.     michelle johnston chief financial officer care advantage  inc. nurse advantage all about care      telephone       fax michellejohnston      the information contained in this electronic transmission is privileged  confidential and may be protected by law.  the information contained in this transmission is intended only for the use of the individual or entity named above.  should this transmission contain protected health information  the authorized recipient of the information is prohibited from disclosing any protected health information that is protected by law to any other party.  if you have received this transmission in error  please notify the sender immediately and destroy the information.  thank you.,0,1,0,0
9,9,Normal,1,according to client s email  this issue is resolved for them.  good morning   we rebooted both workstations and the problem seemed to correct itself.  i did receive the error again when i checked the box to edit the file before submission   however   we were able to create the diskette.  i apologize for not notifying you all that the problem was resolved.  thank you.  michelle johnston chief financial officer      telephone       fax michellejohnston,0,1,0,0
10,10,Normal,1,auto confirmed fix.  survey sent to,0,1,0,0
11,11,Normal,1,created,0,1,0,0
12,12,Normal,1,wrong kb,0,1,0,0
13,13,Normal,1,created,0,1,0,0
14,14,Normal,1,hello brad    center is fully compatible with gp . and all its service packs. however  you will have to do  things once the upgrade is complete. a. uninstall and reinstall  center  to uninstall and reinstall the  center please follow these steps   . open your control panel  . select add remove programs . remove  center . go to our website   . select download the     center for dynamics gp    . complete the wizard to install the  center no permanent information will be lost in the uninstall reinstall process.    b. call us so that we can update our systems that you are now using gp. as your accounting software   center key validation will not work if you don   t notify us of this.  let me know if you have any questions.  thanks                                                                                                                            kwame numapau      support     software inc.   let us handle that   southpoint pkwy    suite    jacksonville  fl    fax  ..   tell  .. ext  p think green. please don   t print this message unless it   s really necessary. thank you.  from  brad lynch  mailto blynch  sent  saturday  january      am to  clientswsupport subject   and great plains   hello   we are currently on great plains . and use .  we are upgrading to great plains  i believe and am curious if there is any compatiblity issues with  that we should know about.  thank you very much for your help.  brad lynch information systems manager new pioneer food coop iowa city   coralville  iowa www.newpi.coop  cellular ph. ..,0,1,0,0
15,15,Normal,1,created,0,1,0,0
16,16,Normal,1,wrong kb.,0,1,0,0
17,17,Normal,1,created,0,1,0,0
18,18,Normal,1,i ve attached a check copy for pauline suggs.  she had a question i could not answer.   her deductions listed  including fed inc tax etc  equal  . current deductions are listed as  . gross minus net pay equals  . none of these numbers match and we re thinking they all should be the same  right   also a concern that i noticed but did not bring up to pauline is that  insurance deduction  of   is listed under deductions.  should not be a deduction  should be added in as a benefit.   please take a look  then give me a call.  i am not sure how to explain this to pauline.  thanks.    andrea davison branch manager access nursing services  york road  suite  lutherville  md        phone      fax adavison,0,1,0,0
19,19,Normal,1,there seems to be an issue with the insurance deduction being listed on the maryland employee.  i am forward to you an example. please let me know why the web site paycheck is listing it as a deduction  thank you  michele billings,0,1,0,0
20,20,Normal,1,remoting in to get a data upload,0,1,0,0
21,21,Normal,1,good morning michele   i have remoted in to the server and am uploading data now. i will look into this issue and will contact you again as soon as i know more.  thank you    stephen smith clientswsupport      ext,0,1,0,0
22,22,Normal,1,we are doing an upgrade today. please stay out of the server.,0,1,0,0
23,23,Normal,1,welp....  so i logged out. the upload is still running tho  and i ll check it shortly,0,1,0,0
24,24,Normal,1,michele   any word on the sever upgrade  please let me know when i will be able to gather the data i need to proceed.  thank you    stephen smith clientswsupport      ext,0,1,0,0
25,25,Normal,1,steve    they finished last night at pm if you want to go in its ok michele,0,1,0,0
26,26,Normal,1,remoted in to their server  starting the data upload now...,0,1,0,0
27,27,Normal,1,ok aaron  we spoke about this one. over to you,0,1,0,0
28,28,Normal,1,access has a code  ins  that is an earning and a deduction. the connector was only seeing it as a deduction. code to fix this is complete. we will be releasing the fix for this today or tomorrow  need to wait for the webservice to be released . once it has been released  we will need the client to perform a manual sync after truncating the all of the tables on all of the companies. holding this until the release.,0,1,0,0
29,29,Normal,1,waiting for sheldon to update the webservice so that we can fix their stuff without looking stupid.,0,1,0,0
30,30,Normal,1,steve  let me know when you have time for this ticket. i would like to run a few queries on their server before completing this fix.,0,1,0,0
31,31,Normal,1,gave you the credentials to do this without me.,0,1,0,0
32,32,Normal,1,they removed the server. give them a shout and let me know when you re in or how to get in,0,1,0,0
33,33,Normal,1,seems that they removed the option to remote in to their server using gotomy.pc. spoke with clyde  and he will add access back for tomorrow. waiting for access...,0,1,0,0
34,34,Normal,1,everything should be taken care of. please verify that they are happy with the results online. we ran some scripts on their settings in an effort to not lose them. please let me or sheldon know if they find any of their settings incorrect. thanks,0,1,0,0
